,ArgProSer,CT,1c3moxybenz+benzsulfa+dodecymebr,AlaArgGluGly,ACGT,AC,AG,ProSerThr,benzsulfa+16diph135hex+nmpyrr+pyrene,benzene+dodecymebr,AlaArg,1-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine,3-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine,2-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine,2-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth,1-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth,3-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth
147.0,9436,6208,100299,4134,6048,9641,6635,6718,4795,9587,9600,4554,4986,5901,0,3121,0
148.0,4239,0,43701,84217,0,0,1255,2730,37308,0,0,17198,20895,28034,0,0,0
149.0,6786,13644,30611,5749,9645,5958,8351,8770,10716,12409,6446,7391,10172,8012,3605,7084,2117
150.0,0,3030,0,2657,0,2146,3591,0,3618,0,0,5313,14831,16807,23277,7132,43583
151.0,8080,18952,16788,24739,12319,13252,10481,11380,5835,13816,7039,47346,49800,172121,14727,12677,71936
152.0,2374,10875,9014,3594,14518,11364,17797,6044,3085,4853,1927,11372,39690,27598,0,2206,6982
153.0,8261,15642,14782,3706,14897,10220,15878,10801,2750,15654,9729,17184,28886,20708,11906,14728,12740
154.0,3335,2890,25501,0,14285,18820,17033,4466,0,0,0,13488,16308,10507,1985,2109,3865
155.0,10130,46822,22926,3995,20399,15117,15749,10987,4121,17984,12056,27954,48569,49877,38219,31570,22903
156.0,3996,38936,13767,7962,8921,3461,3847,13404,0,16982,4208,11448,22017,8758,4858,3475,2242
157.0,12868,29204,57558,5323,21125,17473,18599,13853,0,22852,13528,21443,25956,22186,8731,10761,5550
158.0,10333,10755,44871,4398,6581,4720,1498,7089,0,6476,4674,3549,5617,6303,0,1425,1620
159.0,15089,46993,565511,4514,46125,29518,20013,16438,27580,17293,17543,10040,6657,7523,4839,13127,5873
160.0,1440,8599,79859,3456,7207,4352,1411,9656,123325,4032,4887,1927,2357,0,0,1420,0
161.0,4878,27993,59190,2149,32233,4421,5978,6735,59839,8583,5529,3999,4795,2598,0,3606,0
162.0,0,11146,7866,0,15686,4099,3281,3640,21419,0,3295,4012,6057,7042,0,0,0
163.0,14031,49424,43084,17411,19050,10255,11602,19503,16149,36272,12710,14581,10353,16834,10544,15794,7689
164.0,1745,8083,5444,2186,7054,5323,32448,2173,9728,4476,0,4226,6788,8066,2094,2295,2046
165.0,4564,8383,7106,128916,7958,10003,8622,5075,88384,9197,4685,7472,8166,4570,0,3963,3262
166.0,0,0,0,9837,2640,2747,10790,0,11440,0,0,2083,4623,3767,0,0,0
167.0,8825,14725,11877,3516,11240,16068,9857,10724,10276,13330,8158,6564,5332,7192,4115,8827,4296
168.0,0,4553,2355,0,8739,5029,19674,2564,2554,2413,0,0,1809,2038,0,0,0
169.0,13407,30679,22925,7631,22093,13632,18914,14895,4588,41373,14797,17465,35551,16311,12399,19237,13206
170.0,4323,6216,4494,2715,3823,1384,4939,5130,10280,9107,3337,4196,4516,3941,2370,4888,18550
171.0,20173,44011,31612,9933,32838,16474,24412,23074,8258,68221,21412,35589,49001,25388,10727,19469,14308
172.0,6002,9598,8863,5054,6518,6386,4379,9966,4111,14160,5277,10347,19740,6419,6326,12266,13013
173.0,6758,16897,9815,2450,10062,15365,11476,7160,53404,10266,8269,7950,7268,9585,4687,6062,2719
174.0,0,2410,4874,5780,0,3395,0,1527,211647,4999,0,0,0,3501,0,0,0
175.0,3584,6003,10988,2821,4202,4598,5195,4249,67641,9049,4225,3701,2048,0,0,0,0
176.0,0,2997,133444,1174,4510,0,0,2929,41806,3630,0,0,4199,0,0,0,0
177.0,5465,15343,497752,2328,14792,6979,7960,7676,473680,12456,6209,7814,6204,5172,2654,5288,3949
178.0,0,2721,57919,0,5857,3998,4537,0,119082,2935,0,0,5947,2884,0,0,0
179.0,4456,12459,38965,883655,7932,7207,6989,8113,5799174,16531,341680,3447,2733,3970,0,3514,0
180.0,2066,5727,13149,118478,4554,2204,4887,4933,998601,6876,43886,1620,0,4821,3849,4402,7014
181.0,3348,8526,8261,29597,6870,7952,5360,5499,215047,45491,8786,3958,3220,4938,0,2575,0
182.0,2434,3547,0,12185,0,0,0,0,85265,10387,0,7502,3888,4104,0,0,0
183.0,7257,13144,10041,4635,9585,11928,8321,8416,52490,83339,6365,7642,5260,5584,2674,4838,2405
184.0,3321,6119,0,4625,1572,4070,6122,0,25123,13596,1605,0,0,0,0,0,8972
185.0,13088,23881,19201,6689,17691,13801,14887,14923,15345,20810,13300,11151,6115,7414,4304,11004,7368
186.0,3599,7942,20581,3823,5950,4328,4007,6282,7644,10395,5561,2499,2222,28423,20550,46244,992299
187.0,7694,27918,11920,3758,17629,7580,8272,8810,13556,14470,7242,8018,5470,8531,6320,12107,178729
188.0,3708,6515,1794,2613,5169,5766,0,5109,16357,2299,0,0,2346,0,0,0,38630
189.0,2440,5672,4617,0,4349,2860,4161,2371,10183,4260,1443,3380,2119,0,0,0,9516
190.0,0,2172,2985,1454,0,0,0,2158,5497,0,0,0,0,0,0,0,0
191.0,2071,7778,7548,0,5293,4539,3444,4721,145145,7075,1715,3686,3641,3474,0,3422,0
192.0,0,0,4014,0,0,0,4460,0,41489,0,0,0,0,0,0,0,0
193.0,0,10316,12233,0,5320,6970,4549,4516,116708,13122,2521,1285,2725,0,0,0,0
194.0,0,4334,0,0,3042,2923,3142,0,29820,3234,0,0,1372,0,0,0,0
195.0,7704,18777,27744,3139,14297,10346,10349,10207,53897,37482,6890,7670,3898,5016,3164,7031,1589
196.0,0,7082,2651,3652,5908,8967,0,1996,11982,7087,2257,1813,4075,0,0,0,0
197.0,3377,10256,4874,0,7635,11285,6128,3797,7238,62834,6277,3831,4630,2337,0,3552,0
198.0,0,3871,0,0,3570,4134,0,0,6254,15500,0,0,0,0,0,0,0
199.0,9742,17520,14209,4066,12126,10300,10608,9510,13326,30106,9662,7517,2327,10887,2722,6608,3232
200.0,0,4879,2672,3242,3121,3035,0,0,12154,15370,0,0,0,5106,2945,4361,47481
201.0,8361,18298,23960,2050,13856,11768,10795,9119,17905,15119,8679,8358,5768,13590,0,6551,10698
202.0,0,6117,6595,0,1813,3350,0,3249,1952481,2139,2140,2208,3179,2609,0,0,8633
203.0,8874,8131,6037,5593,5334,4865,4386,6398,5364636,6787,5949,7748,9229,4209,0,3540,0
204.0,0,0,0,2840,0,0,3301,3096,1143407,3202,0,1429,0,0,0,0,0
205.0,0,4738,6044,0,3073,1889,0,1774,391900,2185,0,2865,2557,3574,0,0,0
206.0,0,0,0,0,0,2355,4064,1200,125714,0,0,0,0,0,0,0,0
207.0,3391,15340,3354,0,9419,8102,6708,5707,63796,8255,2092,3371,2449,2549,0,2615,0
208.0,0,4986,0,0,4810,1397,7485,0,29683,0,0,0,0,0,0,0,0
209.0,3778,8645,5680,2477,5915,7019,5241,4970,63434,10097,0,4035,0,0,0,0,0
210.0,0,2333,0,3695,0,2357,0,0,19394,3043,0,0,0,0,0,0,0
211.0,7196,10237,6539,0,7300,3995,5367,6076,10304,16044,4444,1211,3848,0,2458,1287,2634
212.0,0,3624,4173,0,2139,4854,0,0,3633,6814,0,0,0,0,0,0,0
213.0,5051,9999,6952,2444,6007,7009,6620,6547,4248,10683,6706,8644,5824,7107,0,2421,0
214.0,1897,6748,3667,3614,3517,6146,2221,1748,6115,80947,2096,2146,1594,15062,0,0,4911
215.0,4610,9528,6423,0,6333,8345,5390,4700,7059,21991,6668,0,3561,2198,0,3034,0
216.0,0,2616,0,4809,0,0,0,0,4495,3624,0,0,1217,0,0,0,3162
217.0,5746,11809,10902,3991,9499,4792,5603,5893,23665,9292,6754,5949,8992,7029,2791,4001,7104
218.0,0,3051,2699,3122,0,1424,2869,0,356009,2286,1678,0,6156,2928,0,0,2318
219.0,0,6637,10739,8644,5425,7949,2016,3354,167703,2201,2613,6669,8602,3842,0,0,1685
220.0,0,0,0,3272,0,2511,3454,0,40720,0,0,4413,10193,4033,0,0,0
221.0,11073,8060,4701,0,5829,4612,4981,4976,8383,5161,3623,4000,4313,0,0,0,0
222.0,0,2706,0,1484,0,2899,3840,0,12397,0,0,0,0,0,0,0,0
223.0,15899,554233,34722,4812,845631,696969,20561,22748,9129,21266,14062,9684,2523,4928,5637,14438,6198
224.0,3020,88560,7584,12446,135297,110004,4973,4257,5159,4328,5282,2327,0,0,0,2804,0
225.0,2648,36864,10995,2879,40959,31978,8134,5118,3247,8322,6613,0,0,0,0,4126,0
226.0,0,9521,0,0,21441,14191,4991,0,1456,0,0,0,0,1740,1462,0,6796
227.0,4488,9809,5910,0,10743,10254,6157,7248,4209,6262,5519,33182,32801,37455,0,3332,1561
228.0,2415,7774,5278,3951,4632,6897,2304,3083,0,24584,3756,126685,60361,61369,2844,2175,3283
229.0,7272,10883,5461,0,7504,11813,4721,6591,2189,9017,6409,53592,49057,49304,1414,0,0
230.0,0,2466,0,2250,1252,7907,0,0,1787,2339,3475,112612,61300,60825,0,0,0
231.0,796531,5843,6750,0,5451,4014,0,536990,13026,2035,3612,17755,11494,11291,0,0,0
232.0,131383,0,0,4421,0,0,0,91765,3019456,0,3231,1864,0,0,0,0,6611
233.0,36511,4852,12183,0,4933,0,3483,29056,773250,3778,3688,3671,6965,1162,0,0,0
234.0,18599,0,0,0,0,3026,3570,11455,185550,0,0,0,0,0,0,0,0
235.0,8097,21741,13610,0,16745,8724,8144,16302,94791,7319,5496,7675,6681,6009,4305,7894,3486
236.0,0,5132,0,0,3699,2860,0,4300,49052,0,0,1680,0,0,0,0,0
237.0,2639,7459,4428,0,4986,5715,0,3234,28360,4363,0,0,2515,0,0,0,0
