,ArgProSer,CT,1c3moxybenz+benzsulfa+dodecymebr,AlaArgGluGly,ACGT,AC,AG,ProSerThr,benzsulfa+16diph135hex+nmpyrr+pyrene,benzene+dodecymebr,AlaArg,1-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine,3-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine,2-PTSA-Na4+1234tetfbenzTBD+decyltriambr+purine,2-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth,1-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth,3-PTSA-Na4+1234tetfbenz+decyltriambr+purine+dodecTBD+12diampur+benzsulfa+nandecsulf+1m3mbenz+xanth
581.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587.0,0,0,0,0,0,0,0,0,7684,0,0,0,0,0,0,0,0
588.0,0,0,0,0,0,0,0,0,3418,0,0,0,0,0,0,0,0
589.0,0,0,0,0,0,0,0,0,6119,0,0,0,0,0,0,0,0
590.0,0,0,0,0,0,0,0,0,2945,0,0,0,0,0,0,0,0
591.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
596.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601.0,0,0,0,0,0,1783,0,0,0,0,0,0,0,0,0,0,0
602.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610.0,0,0,0,0,0,1436,0,0,0,0,0,0,0,0,0,0,0
611.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
619.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
621.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
627.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
628.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632.0,0,0,0,0,0,0,0,0,0,8984,0,0,0,0,0,0,0
633.0,0,0,0,0,0,0,0,0,0,1958,0,0,0,0,0,0,0
634.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
636.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
638.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
642.0,0,0,0,0,0,0,0,0,0,4462,0,0,0,0,0,0,0
643.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
644.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
646.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
647.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
648.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649.0,0,0,0,0,0,0,0,0,0,2666,0,0,0,0,0,0,0
650.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
651.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
652.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
653.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
654.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
655.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
656.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
657.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
658.0,0,0,0,0,0,0,0,0,0,3112,0,0,0,0,0,0,0
659.0,0,0,0,0,0,0,0,0,0,2159,0,0,0,0,0,0,0
660.0,0,0,6695,0,0,0,0,0,0,85272,0,0,0,7019,0,0,0
661.0,0,0,2561,0,0,0,0,0,0,27278,0,0,0,0,0,0,0
662.0,0,0,0,0,0,0,0,0,0,4851,0,0,0,0,0,0,0
663.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
664.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
668.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
669.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
671.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
672.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
673.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
674.0,0,0,0,0,0,0,0,0,0,9635,0,0,0,0,0,0,0
675.0,0,0,0,0,0,0,0,0,0,3144,0,0,0,0,0,0,0
676.0,0,0,0,0,0,0,0,0,0,2570,0,0,0,0,0,0,0
677.0,0,0,3282,0,0,0,0,0,0,28261,0,0,0,0,0,0,0
678.0,0,0,0,0,0,0,0,0,0,8971,0,0,0,0,0,0,0
679.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
681.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
683.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
684.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686.0,0,0,0,0,0,1060,0,0,0,0,0,0,0,0,0,0,0
687.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
691.0,0,0,0,0,0,0,0,0,0,4806,0,0,0,0,0,0,0
692.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
698.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
704.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
706.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
707.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
708.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
709.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
711.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
712.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
713.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
