,N-methylpyrrole,246-Trimethylpyridine,Nile red,Methylcyclopentane,Cyclopentane,Pyridine,1234-tetrafluorobenzene,Asn,Arg,Ala,Glu,Leu,Phe,Cys,Ser,Ile,Gln,Met,Trp,Asp,Val,Gly,Pro,Tyr,Lys,His,Thr,Benzene,Benzenesulfonic acid,Pyrene,Phenanthrene,P2,ZnPh,P1,Purine,Thymine,2-methoxynaphthalene,Adenine,Hypoxanthine,Cytosine,22-bipyridyl,Guanine,213-Benzothiadiazole,Pyrimidine,1-methoxy-3-methylbenzene,Biphenyl,Xanthine,26-Diaminopurine,1-Chloro-3-methoxybenzene,Trimethyloctadecylammonium bromide,Sodium n-decyl sulfate,Decyltrimethylammonium bromide,Sodium n-octadecyl sulfate,Dodecylamine,Tridecanoic acid,Dodecanoic acid,Dodecyltrimethylammonium bromide,16-diphenyl-135-hexatriene
84.0,326045,0,2716,142269,3959,232252,3784,12683,18499,3731,285067,8045,4966,8063,6882,15184,32030,14029,7370,13115,5145,5060,8619,11397,663234,26534,8103,58628,2056,0,1362,9463,3852,6882,5304,15359,9477,5104,10643,4771,15220,9983,15597,64122,3494,10395,7301,11306,5179,6310,49378,13271,7559,12071,20478,1820,4823,0
85.0,124868,0,20304,86449,25849,68641,18511,65039,81886,12823,102937,18193,15664,65989,6387,45785,73400,32596,14914,65090,18493,29648,27840,127860,117091,75991,33180,47391,23408,7531,9009,30195,17169,47558,22088,12903,31839,23081,57796,29196,48742,69082,48818,10675,16882,36881,51522,49832,25386,43842,567476,133203,321493,11275,188958,25237,50320,4526
86.0,75253,0,3563,13857,5470,65231,4980,28436,18201,6077,26006,2253197,4500,12417,7172,1767471,13369,9964,6516,16714,8913,7196,13155,11770,56726,12537,6931,40884,4522,2115,3429,4379,7811,6700,9729,6474,12327,8836,10604,6985,16185,16835,18965,11909,9038,10893,9513,14931,28500,8786,60661,10727,32925,9240,18056,4928,6004,1487
87.0,27360,1947,13761,23591,84594,19077,12735,473331,36617,9953,32366,265864,13886,39703,3830,237870,46548,39881,11658,41015,14053,14962,21461,27584,42294,46166,15886,137036,16024,3201,8524,21813,14112,31184,17279,7963,20363,18889,41568,27546,36329,13545,37095,10551,12319,29169,41591,39040,24314,22328,169435,10255,12252,1104,20621,19533,20113,2222
88.0,2382,0,7084,11940,9353,5487,6157,113005,76985,19717,26854,78036,5601,82413,530113,58003,18773,82287,6311,509396,16369,28289,9289,8133,8583,14051,4880,234623,4442,2179,4639,6210,3501319,7954,10820,6163,12898,9711,12328,12873,17185,14787,18144,38240,9926,13380,12479,15419,17244,10120,18456,3804,6348,6701,8112,6730,4915,1729
89.0,4403,1167,11708,26665,43149,9119,511978,119138,33539,9121,25290,31755,14874,30664,44993,46535,32794,43232,12896,113992,13503,16108,18776,23016,28239,39472,15246,101397,13547,3319,4765,23673,325231,27748,33715,11150,19512,16532,37191,29015,32149,19422,30947,5174,12262,25233,29611,30843,18496,16672,48762,7012,7418,0,27902,16054,13299,2722
90.0,1580,0,3042,7885,3626,0,48391,16864,7545,8710110,8666,3846,3326,34721,4130,2953,5264,79988,12151,49115,3375,12129,3384,4028,4104,12229,2861,27629,0,0,1463,2532,85499,3269,4988,2699,4032,3658,4872,5850,6571,30534,7794,0,2952,4880,3935,5958,4401,3981,4729,0,1533,0,2442,2216,3471,0
91.0,3219,1485,14052,11440,27967,6151,14589,29579,23552,831173,18825,7255,28700,25120,3481,23215,28837,24939,14467,29355,9239,10956,13936,24186,17024,29669,11458,139772,12997,3109,3943,18110,56074,22080,13166,5387,16871,13878,26644,11770,35436,8717,33113,2574,22250,25305,17088,27508,15155,15202,56235,5133,7916,0,13639,14246,11894,605943
92.0,0,0,0,0,1993,0,2698,4270,1892,322849,0,0,9802,3429,0,0,0,5194,0,3204,0,0,0,1622,0,2553,0,46957,0,0,0,1450,8550,0,0,0,1660,984,2295,0,3372,0,3160,0,4913,2642,0,2995,1804,3356,3833,0,0,0,1934,1609,0,69139
93.0,0,0,6983,5370,6902,4115,14975,8447,14038,141666,15859,4708,5263,13507,0,7385,14327,6744,19025,18059,3380,4967,6268,23409,10808,9768,5312,70239,6636,1679,0,11747,5061,17101,4455,1514,6071,6311,9607,5253,11806,24942,9772,1898,7275,7752,5966,8941,5064,9829,24634,8266,5442,0,9071,6159,12669,2571
94.0,55571,0,1962,238896,0,0,79438,3492,3704,48568,3048,0,2804,4454,0,1544,3504,5915,2235,4364,0,17573,2070,3716,3363,3725,0,7463070,82209,0,0,1531,0,2764,6664,1532,2633,2568,2389,2352,4853,6158,4189,165815,2567,3673,1450,3369,2620,2424,4074,6486,2621,0,6780,113157,0,0
95.0,130576,0,8141,36095,10713,8793,13432,25650,26227,19271,24701,7929,7814,31761,2936,19666,24632,13830,5462,21744,8464,10302,11447,19178,24346,25023,10806,3831461,29630,1951,2412,16048,7152,18082,7130,5719,10690,7480,14357,13603,16094,16191,14094,50260,25213,11965,15324,13321,14925,10878,99110,81062,44219,5767,49930,38452,20625,3446
